Encryption enabled: AES
CRYPTO STATUS: enabled=True method=AES | auth_enabled=False auth_method=None | DESERIALIZE: 0.00465 s | CRYPTO: 0.49831 s | AUTH: 0.00000 s | TOTAL: 0.50296 s | IMPACT: 99.08% | AUTH_IMPACT: 0.00%
CRYPTO STATUS: enabled=True method=AES | auth_enabled=False auth_method=None | SERIALIZE: 0.00072 s | CRYPTO: 0.21341 s | AUTH: 0.00000 s | TOTAL: 0.21413 s | IMPACT: 99.66% | AUTH_IMPACT: 0.00%
CRYPTO STATUS: enabled=True method=AES | auth_enabled=False auth_method=None | SERIALIZE: 0.00068 s | CRYPTO: 0.20821 s | AUTH: 0.00000 s | TOTAL: 0.20888 s | IMPACT: 99.68% | AUTH_IMPACT: 0.00%
CRYPTO STATUS: enabled=True method=AES | auth_enabled=False auth_method=None | SERIALIZE: 0.00075 s | CRYPTO: 0.19619 s | AUTH: 0.00000 s | TOTAL: 0.19695 s | IMPACT: 99.62% | AUTH_IMPACT: 0.00%
CRYPTO STATUS: enabled=True method=AES | auth_enabled=False auth_method=None | SERIALIZE: 0.00078 s | CRYPTO: 0.17916 s | AUTH: 0.00000 s | TOTAL: 0.17993 s | IMPACT: 99.57% | AUTH_IMPACT: 0.00%
CRYPTO STATUS: enabled=True method=AES | auth_enabled=False auth_method=None | SERIALIZE: 0.00079 s | CRYPTO: 0.25394 s | AUTH: 0.00000 s | TOTAL: 0.25474 s | IMPACT: 99.69% | AUTH_IMPACT: 0.00%
CRYPTO STATUS: enabled=True method=AES | auth_enabled=False auth_method=None | SERIALIZE: 0.00077 s | CRYPTO: 0.24251 s | AUTH: 0.00000 s | TOTAL: 0.24328 s | IMPACT: 99.68% | AUTH_IMPACT: 0.00%
CRYPTO STATUS: enabled=True method=AES | auth_enabled=False auth_method=None | SERIALIZE: 0.00074 s | CRYPTO: 0.21265 s | AUTH: 0.00000 s | TOTAL: 0.21339 s | IMPACT: 99.65% | AUTH_IMPACT: 0.00%
CRYPTO STATUS: enabled=True method=AES | auth_enabled=False auth_method=None | SERIALIZE: 0.00075 s | CRYPTO: 0.22749 s | AUTH: 0.00000 s | TOTAL: 0.22824 s | IMPACT: 99.67% | AUTH_IMPACT: 0.00%
CRYPTO STATUS: enabled=True method=AES | auth_enabled=False auth_method=None | DESERIALIZE: 0.00184 s | CRYPTO: 0.20235 s | AUTH: 0.00000 s | TOTAL: 0.20419 s | IMPACT: 99.10% | AUTH_IMPACT: 0.00%
CRYPTO STATUS: enabled=True method=AES | auth_enabled=False auth_method=None | SERIALIZE: 0.00083 s | CRYPTO: 0.24609 s | AUTH: 0.00000 s | TOTAL: 0.24692 s | IMPACT: 99.66% | AUTH_IMPACT: 0.00%
CRYPTO STATUS: enabled=True method=AES | auth_enabled=False auth_method=None | SERIALIZE: 0.00075 s | CRYPTO: 0.22235 s | AUTH: 0.00000 s | TOTAL: 0.22309 s | IMPACT: 99.66% | AUTH_IMPACT: 0.00%
CRYPTO STATUS: enabled=True method=AES | auth_enabled=False auth_method=None | DESERIALIZE: 0.00168 s | CRYPTO: 0.24805 s | AUTH: 0.00000 s | TOTAL: 0.24972 s | IMPACT: 99.33% | AUTH_IMPACT: 0.00%
CRYPTO STATUS: enabled=True method=AES | auth_enabled=False auth_method=None | DESERIALIZE: 0.00121 s | CRYPTO: 0.12442 s | AUTH: 0.00000 s | TOTAL: 0.12562 s | IMPACT: 99.04% | AUTH_IMPACT: 0.00%
CRYPTO STATUS: enabled=True method=AES | auth_enabled=False auth_method=None | SERIALIZE: 0.00070 s | CRYPTO: 0.17813 s | AUTH: 0.00000 s | TOTAL: 0.17883 s | IMPACT: 99.61% | AUTH_IMPACT: 0.00%
CRYPTO STATUS: enabled=True method=AES | auth_enabled=False auth_method=None | SERIALIZE: 0.00074 s | CRYPTO: 0.27580 s | AUTH: 0.00000 s | TOTAL: 0.27654 s | IMPACT: 99.73% | AUTH_IMPACT: 0.00%
CRYPTO STATUS: enabled=True method=AES | auth_enabled=False auth_method=None | SERIALIZE: 0.00068 s | CRYPTO: 0.22114 s | AUTH: 0.00000 s | TOTAL: 0.22183 s | IMPACT: 99.69% | AUTH_IMPACT: 0.00%
CRYPTO STATUS: enabled=True method=AES | auth_enabled=False auth_method=None | SERIALIZE: 0.00074 s | CRYPTO: 0.23485 s | AUTH: 0.00000 s | TOTAL: 0.23559 s | IMPACT: 99.69% | AUTH_IMPACT: 0.00%
CRYPTO STATUS: enabled=True method=AES | auth_enabled=False auth_method=None | DESERIALIZE: 0.00152 s | CRYPTO: 0.21876 s | AUTH: 0.00000 s | TOTAL: 0.22028 s | IMPACT: 99.31% | AUTH_IMPACT: 0.00%
CRYPTO STATUS: enabled=True method=AES | auth_enabled=False auth_method=None | SERIALIZE: 0.00070 s | CRYPTO: 0.21775 s | AUTH: 0.00000 s | TOTAL: 0.21845 s | IMPACT: 99.68% | AUTH_IMPACT: 0.00%
CRYPTO STATUS: enabled=True method=AES | auth_enabled=False auth_method=None | SERIALIZE: 0.00074 s | CRYPTO: 0.23688 s | AUTH: 0.00000 s | TOTAL: 0.23762 s | IMPACT: 99.69% | AUTH_IMPACT: 0.00%
CRYPTO STATUS: enabled=True method=AES | auth_enabled=False auth_method=None | SERIALIZE: 0.00075 s | CRYPTO: 0.25510 s | AUTH: 0.00000 s | TOTAL: 0.25585 s | IMPACT: 99.71% | AUTH_IMPACT: 0.00%
CRYPTO STATUS: enabled=True method=AES | auth_enabled=False auth_method=None | SERIALIZE: 0.00066 s | CRYPTO: 0.18483 s | AUTH: 0.00000 s | TOTAL: 0.18549 s | IMPACT: 99.65% | AUTH_IMPACT: 0.00%
CRYPTO STATUS: enabled=True method=AES | auth_enabled=False auth_method=None | SERIALIZE: 0.00066 s | CRYPTO: 0.16843 s | AUTH: 0.00000 s | TOTAL: 0.16908 s | IMPACT: 99.61% | AUTH_IMPACT: 0.00%
CRYPTO STATUS: enabled=True method=AES | auth_enabled=False auth_method=None | DESERIALIZE: 0.00084 s | CRYPTO: 0.09944 s | AUTH: 0.00000 s | TOTAL: 0.10029 s | IMPACT: 99.16% | AUTH_IMPACT: 0.00%
CRYPTO STATUS: enabled=True method=AES | auth_enabled=False auth_method=None | DESERIALIZE: 0.00083 s | CRYPTO: 0.09268 s | AUTH: 0.00000 s | TOTAL: 0.09351 s | IMPACT: 99.11% | AUTH_IMPACT: 0.00%
CRYPTO STATUS: enabled=True method=AES | auth_enabled=False auth_method=None | DESERIALIZE: 0.00959 s | CRYPTO: 0.13125 s | AUTH: 0.00000 s | TOTAL: 0.14083 s | IMPACT: 93.19% | AUTH_IMPACT: 0.00%
CRYPTO STATUS: enabled=True method=AES | auth_enabled=False auth_method=None | DESERIALIZE: 0.00079 s | CRYPTO: 0.11734 s | AUTH: 0.00000 s | TOTAL: 0.11812 s | IMPACT: 99.34% | AUTH_IMPACT: 0.00%
CRYPTO STATUS: enabled=True method=AES | auth_enabled=False auth_method=None | DESERIALIZE: 0.00081 s | CRYPTO: 0.08730 s | AUTH: 0.00000 s | TOTAL: 0.08811 s | IMPACT: 99.08% | AUTH_IMPACT: 0.00%
CRYPTO STATUS: enabled=True method=AES | auth_enabled=False auth_method=None | DESERIALIZE: 0.00082 s | CRYPTO: 0.09361 s | AUTH: 0.00000 s | TOTAL: 0.09442 s | IMPACT: 99.13% | AUTH_IMPACT: 0.00%
CRYPTO STATUS: enabled=True method=AES | auth_enabled=False auth_method=None | DESERIALIZE: 0.00080 s | CRYPTO: 0.08937 s | AUTH: 0.00000 s | TOTAL: 0.09017 s | IMPACT: 99.12% | AUTH_IMPACT: 0.00%
Tempo totale round 2: 202.84 s
=== Report tempi round ===
Round 1: totale=206.64s | crypto=6.14s (2.97%) | auth=0.00s (0.00%) | crypto_cum=122.72s | auth_cum=0.00s | senza_critto=200.50s | parallel_factor=20 | parallel_fit=20 | parallel_eval=0
Round 2: totale=202.84s | crypto=4.68s (2.31%) | auth=0.00s (0.00%) | crypto_cum=93.67s | auth_cum=0.00s | senza_critto=198.16s | parallel_factor=20 | parallel_fit=20 | parallel_eval=0
Totale critto (parallel): 10.82s su 409.48s (2.64%)
Totale auth (parallel): 0.00s su 409.48s (0.00%)
Totale critto cumulativo: 216.39s
Early stopping triggered at round 2, stopping server.
Run finished 1000 round(s) in 409.49s
Totale critto: 216.39 s su 409.49 s (52.84%) | auth: 0.00 s (0.00%) | serializzazione: 0.09 s
Overhead totale: 267200 B su 3408991040 B (0.01%)
Overhead AES: 267200 B (0.01%) | medio=30.64 B/msg
Overhead medio crypto: 30.60 B/msg
	History (loss, centralized):

		round 1: 2.3490977222442626

		round 2: 0.8057822368621826

	History (metrics, centralized):

	{'accuracy': [(1, 0.1387), (2, 0.7208)],

	 'round_time': [(1, 206.63759954832494), (2, 202.84254176355898)]}


