Encryption disabled
CRYPTO STATUS: enabled=False method=None | auth_enabled=True auth_method=ECCFROG522PP | DESERIALIZE: 0.00268 s | CRYPTO: 0.00000 s | AUTH: 24.83086 s | TOTAL: 24.83354 s | IMPACT: 0.00% | AUTH_IMPACT: 99.99%
CRYPTO STATUS: enabled=False method=None | auth_enabled=True auth_method=ECCFROG522PP | SERIALIZE: 0.00072 s | CRYPTO: 0.00000 s | AUTH: 22.79514 s | TOTAL: 22.79586 s | IMPACT: 0.00% | AUTH_IMPACT: 100.00%
CRYPTO STATUS: enabled=False method=None | auth_enabled=True auth_method=ECCFROG522PP | SERIALIZE: 0.00083 s | CRYPTO: 0.00000 s | AUTH: 23.51903 s | TOTAL: 23.51986 s | IMPACT: 0.00% | AUTH_IMPACT: 100.00%
CRYPTO STATUS: enabled=False method=None | auth_enabled=True auth_method=ECCFROG522PP | SERIALIZE: 0.00085 s | CRYPTO: 0.00000 s | AUTH: 23.44482 s | TOTAL: 23.44567 s | IMPACT: 0.00% | AUTH_IMPACT: 100.00%
CRYPTO STATUS: enabled=False method=None | auth_enabled=True auth_method=ECCFROG522PP | SERIALIZE: 0.00141 s | CRYPTO: 0.00000 s | AUTH: 26.73126 s | TOTAL: 26.73267 s | IMPACT: 0.00% | AUTH_IMPACT: 99.99%
CRYPTO STATUS: enabled=False method=None | auth_enabled=True auth_method=ECCFROG522PP | SERIALIZE: 0.00095 s | CRYPTO: 0.00000 s | AUTH: 23.73728 s | TOTAL: 23.73823 s | IMPACT: 0.00% | AUTH_IMPACT: 100.00%
CRYPTO STATUS: enabled=False method=None | auth_enabled=True auth_method=ECCFROG522PP | SERIALIZE: 0.00086 s | CRYPTO: 0.00000 s | AUTH: 23.97193 s | TOTAL: 23.97279 s | IMPACT: 0.00% | AUTH_IMPACT: 100.00%
CRYPTO STATUS: enabled=False method=None | auth_enabled=True auth_method=ECCFROG522PP | SERIALIZE: 0.00081 s | CRYPTO: 0.00000 s | AUTH: 24.23231 s | TOTAL: 24.23311 s | IMPACT: 0.00% | AUTH_IMPACT: 100.00%
CRYPTO STATUS: enabled=False method=None | auth_enabled=True auth_method=ECCFROG522PP | SERIALIZE: 0.00084 s | CRYPTO: 0.00000 s | AUTH: 24.44808 s | TOTAL: 24.44892 s | IMPACT: 0.00% | AUTH_IMPACT: 100.00%
CRYPTO STATUS: enabled=False method=None | auth_enabled=True auth_method=ECCFROG522PP | SERIALIZE: 0.00083 s | CRYPTO: 0.00000 s | AUTH: 23.19137 s | TOTAL: 23.19219 s | IMPACT: 0.00% | AUTH_IMPACT: 100.00%
CRYPTO STATUS: enabled=False method=None | auth_enabled=True auth_method=ECCFROG522PP | SERIALIZE: 0.00136 s | CRYPTO: 0.00000 s | AUTH: 24.59557 s | TOTAL: 24.59693 s | IMPACT: 0.00% | AUTH_IMPACT: 99.99%
CRYPTO STATUS: enabled=False method=None | auth_enabled=True auth_method=ECCFROG522PP | SERIALIZE: 0.00085 s | CRYPTO: 0.00000 s | AUTH: 24.09863 s | TOTAL: 24.09947 s | IMPACT: 0.00% | AUTH_IMPACT: 100.00%
CRYPTO STATUS: enabled=False method=None | auth_enabled=True auth_method=ECCFROG522PP | SERIALIZE: 0.00092 s | CRYPTO: 0.00000 s | AUTH: 23.23040 s | TOTAL: 23.23132 s | IMPACT: 0.00% | AUTH_IMPACT: 100.00%
CRYPTO STATUS: enabled=False method=None | auth_enabled=True auth_method=ECCFROG522PP | SERIALIZE: 0.00095 s | CRYPTO: 0.00000 s | AUTH: 23.42829 s | TOTAL: 23.42924 s | IMPACT: 0.00% | AUTH_IMPACT: 100.00%
CRYPTO STATUS: enabled=False method=None | auth_enabled=True auth_method=ECCFROG522PP | SERIALIZE: 0.00075 s | CRYPTO: 0.00000 s | AUTH: 23.14387 s | TOTAL: 23.14462 s | IMPACT: 0.00% | AUTH_IMPACT: 100.00%
