Encryption disabled
CRYPTO STATUS: enabled=False method=None | auth_enabled=True auth_method=ED448 | DESERIALIZE: 0.00296 s | CRYPTO: 0.00000 s | AUTH: 0.74945 s | TOTAL: 0.75241 s | IMPACT: 0.00% | AUTH_IMPACT: 99.61%
CRYPTO STATUS: enabled=False method=None | auth_enabled=True auth_method=ED448 | SERIALIZE: 0.00071 s | CRYPTO: 0.00000 s | AUTH: 0.74542 s | TOTAL: 0.74613 s | IMPACT: 0.00% | AUTH_IMPACT: 99.90%
CRYPTO STATUS: enabled=False method=None | auth_enabled=True auth_method=ED448 | SERIALIZE: 0.00074 s | CRYPTO: 0.00000 s | AUTH: 0.71356 s | TOTAL: 0.71430 s | IMPACT: 0.00% | AUTH_IMPACT: 99.90%
CRYPTO STATUS: enabled=False method=None | auth_enabled=True auth_method=ED448 | DESERIALIZE: 0.00222 s | CRYPTO: 0.00000 s | AUTH: 0.74741 s | TOTAL: 0.74963 s | IMPACT: 0.00% | AUTH_IMPACT: 99.70%
CRYPTO STATUS: enabled=False method=None | auth_enabled=True auth_method=ED448 | DESERIALIZE: 0.00239 s | CRYPTO: 0.00000 s | AUTH: 0.55991 s | TOTAL: 0.56231 s | IMPACT: 0.00% | AUTH_IMPACT: 99.57%
CRYPTO STATUS: enabled=False method=None | auth_enabled=True auth_method=ED448 | SERIALIZE: 0.00074 s | CRYPTO: 0.00000 s | AUTH: 0.85420 s | TOTAL: 0.85494 s | IMPACT: 0.00% | AUTH_IMPACT: 99.91%
CRYPTO STATUS: enabled=False method=None | auth_enabled=True auth_method=ED448 | SERIALIZE: 0.00076 s | CRYPTO: 0.00000 s | AUTH: 0.78507 s | TOTAL: 0.78583 s | IMPACT: 0.00% | AUTH_IMPACT: 99.90%
CRYPTO STATUS: enabled=False method=None | auth_enabled=True auth_method=ED448 | DESERIALIZE: 0.00198 s | CRYPTO: 0.00000 s | AUTH: 0.36750 s | TOTAL: 0.36948 s | IMPACT: 0.00% | AUTH_IMPACT: 99.46%
CRYPTO STATUS: enabled=False method=None | auth_enabled=True auth_method=ED448 | SERIALIZE: 0.00072 s | CRYPTO: 0.00000 s | AUTH: 0.76838 s | TOTAL: 0.76909 s | IMPACT: 0.00% | AUTH_IMPACT: 99.91%
CRYPTO STATUS: enabled=False method=None | auth_enabled=True auth_method=ED448 | SERIALIZE: 0.00078 s | CRYPTO: 0.00000 s | AUTH: 0.78144 s | TOTAL: 0.78221 s | IMPACT: 0.00% | AUTH_IMPACT: 99.90%
CRYPTO STATUS: enabled=False method=None | auth_enabled=True auth_method=ED448 | DESERIALIZE: 0.00098 s | CRYPTO: 0.00000 s | AUTH: 0.40602 s | TOTAL: 0.40699 s | IMPACT: 0.00% | AUTH_IMPACT: 99.76%
CRYPTO STATUS: enabled=False method=None | auth_enabled=True auth_method=ED448 | DESERIALIZE: 0.00155 s | CRYPTO: 0.00000 s | AUTH: 0.37288 s | TOTAL: 0.37443 s | IMPACT: 0.00% | AUTH_IMPACT: 99.59%
CRYPTO STATUS: enabled=False method=None | auth_enabled=True auth_method=ED448 | DESERIALIZE: 0.00234 s | CRYPTO: 0.00000 s | AUTH: 0.35631 s | TOTAL: 0.35865 s | IMPACT: 0.00% | AUTH_IMPACT: 99.35%
CRYPTO STATUS: enabled=False method=None | auth_enabled=True auth_method=ED448 | SERIALIZE: 0.00073 s | CRYPTO: 0.00000 s | AUTH: 0.82770 s | TOTAL: 0.82843 s | IMPACT: 0.00% | AUTH_IMPACT: 99.91%
CRYPTO STATUS: enabled=False method=None | auth_enabled=True auth_method=ED448 | DESERIALIZE: 0.00092 s | CRYPTO: 0.00000 s | AUTH: 0.36875 s | TOTAL: 0.36967 s | IMPACT: 0.00% | AUTH_IMPACT: 99.75%
CRYPTO STATUS: enabled=False method=None | auth_enabled=True auth_method=ED448 | SERIALIZE: 0.00085 s | CRYPTO: 0.00000 s | AUTH: 0.90441 s | TOTAL: 0.90526 s | IMPACT: 0.00% | AUTH_IMPACT: 99.91%
CRYPTO STATUS: enabled=False method=None | auth_enabled=True auth_method=ED448 | SERIALIZE: 0.00087 s | CRYPTO: 0.00000 s | AUTH: 0.95730 s | TOTAL: 0.95817 s | IMPACT: 0.00% | AUTH_IMPACT: 99.91%
CRYPTO STATUS: enabled=False method=None | auth_enabled=True auth_method=ED448 | SERIALIZE: 0.00074 s | CRYPTO: 0.00000 s | AUTH: 0.83212 s | TOTAL: 0.83286 s | IMPACT: 0.00% | AUTH_IMPACT: 99.91%
CRYPTO STATUS: enabled=False method=None | auth_enabled=True auth_method=ED448 | SERIALIZE: 0.00071 s | CRYPTO: 0.00000 s | AUTH: 0.79672 s | TOTAL: 0.79743 s | IMPACT: 0.00% | AUTH_IMPACT: 99.91%
CRYPTO STATUS: enabled=False method=None | auth_enabled=True auth_method=ED448 | SERIALIZE: 0.00070 s | CRYPTO: 0.00000 s | AUTH: 0.75360 s | TOTAL: 0.75431 s | IMPACT: 0.00% | AUTH_IMPACT: 99.91%
CRYPTO STATUS: enabled=False method=None | auth_enabled=True auth_method=ED448 | DESERIALIZE: 0.00084 s | CRYPTO: 0.00000 s | AUTH: 0.34898 s | TOTAL: 0.34982 s | IMPACT: 0.00% | AUTH_IMPACT: 99.76%
CRYPTO STATUS: enabled=False method=None | auth_enabled=True auth_method=ED448 | SERIALIZE: 0.00069 s | CRYPTO: 0.00000 s | AUTH: 0.75780 s | TOTAL: 0.75850 s | IMPACT: 0.00% | AUTH_IMPACT: 99.91%
CRYPTO STATUS: enabled=False method=None | auth_enabled=True auth_method=ED448 | SERIALIZE: 0.00072 s | CRYPTO: 0.00000 s | AUTH: 0.73160 s | TOTAL: 0.73232 s | IMPACT: 0.00% | AUTH_IMPACT: 99.90%
