Encryption disabled
CRYPTO STATUS: enabled=False method=None | auth_enabled=False auth_method=None | DESERIALIZE: 0.00281 s | CRYPTO: 0.57671 s | AUTH: 0.00000 s | TOTAL: 0.57952 s | IMPACT: 99.51% | AUTH_IMPACT: 0.00%
CRYPTO STATUS: enabled=False method=None | auth_enabled=False auth_method=None | SERIALIZE: 0.00072 s | CRYPTO: 0.25104 s | AUTH: 0.00000 s | TOTAL: 0.25176 s | IMPACT: 99.71% | AUTH_IMPACT: 0.00%
CRYPTO STATUS: enabled=False method=None | auth_enabled=False auth_method=None | SERIALIZE: 0.00070 s | CRYPTO: 0.24373 s | AUTH: 0.00000 s | TOTAL: 0.24443 s | IMPACT: 99.71% | AUTH_IMPACT: 0.00%
CRYPTO STATUS: enabled=False method=None | auth_enabled=False auth_method=None | DESERIALIZE: 0.00108 s | CRYPTO: 0.25133 s | AUTH: 0.00000 s | TOTAL: 0.25242 s | IMPACT: 99.57% | AUTH_IMPACT: 0.00%
CRYPTO STATUS: enabled=False method=None | auth_enabled=False auth_method=None | DESERIALIZE: 0.00107 s | CRYPTO: 0.27148 s | AUTH: 0.00000 s | TOTAL: 0.27254 s | IMPACT: 99.61% | AUTH_IMPACT: 0.00%
CRYPTO STATUS: enabled=False method=None | auth_enabled=False auth_method=None | SERIALIZE: 0.00074 s | CRYPTO: 0.25874 s | AUTH: 0.00000 s | TOTAL: 0.25948 s | IMPACT: 99.71% | AUTH_IMPACT: 0.00%
CRYPTO STATUS: enabled=False method=None | auth_enabled=False auth_method=None | SERIALIZE: 0.00075 s | CRYPTO: 0.28601 s | AUTH: 0.00000 s | TOTAL: 0.28676 s | IMPACT: 99.74% | AUTH_IMPACT: 0.00%
CRYPTO STATUS: enabled=False method=None | auth_enabled=False auth_method=None | SERIALIZE: 0.00078 s | CRYPTO: 0.27272 s | AUTH: 0.00000 s | TOTAL: 0.27350 s | IMPACT: 99.71% | AUTH_IMPACT: 0.00%
CRYPTO STATUS: enabled=False method=None | auth_enabled=False auth_method=None | SERIALIZE: 0.00077 s | CRYPTO: 0.23827 s | AUTH: 0.00000 s | TOTAL: 0.23904 s | IMPACT: 99.68% | AUTH_IMPACT: 0.00%
CRYPTO STATUS: enabled=False method=None | auth_enabled=False auth_method=None | DESERIALIZE: 0.00097 s | CRYPTO: 0.24030 s | AUTH: 0.00000 s | TOTAL: 0.24127 s | IMPACT: 99.60% | AUTH_IMPACT: 0.00%
CRYPTO STATUS: enabled=False method=None | auth_enabled=False auth_method=None | SERIALIZE: 0.00068 s | CRYPTO: 0.23306 s | AUTH: 0.00000 s | TOTAL: 0.23374 s | IMPACT: 99.71% | AUTH_IMPACT: 0.00%
CRYPTO STATUS: enabled=False method=None | auth_enabled=False auth_method=None | DESERIALIZE: 0.00124 s | CRYPTO: 0.41540 s | AUTH: 0.00000 s | TOTAL: 0.41664 s | IMPACT: 99.70% | AUTH_IMPACT: 0.00%
CRYPTO STATUS: enabled=False method=None | auth_enabled=False auth_method=None | DESERIALIZE: 0.00100 s | CRYPTO: 0.39233 s | AUTH: 0.00000 s | TOTAL: 0.39332 s | IMPACT: 99.75% | AUTH_IMPACT: 0.00%
CRYPTO STATUS: enabled=False method=None | auth_enabled=False auth_method=None | DESERIALIZE: 0.00095 s | CRYPTO: 0.27794 s | AUTH: 0.00000 s | TOTAL: 0.27889 s | IMPACT: 99.66% | AUTH_IMPACT: 0.00%
CRYPTO STATUS: enabled=False method=None | auth_enabled=False auth_method=None | DESERIALIZE: 0.00094 s | CRYPTO: 0.23678 s | AUTH: 0.00000 s | TOTAL: 0.23772 s | IMPACT: 99.60% | AUTH_IMPACT: 0.00%
CRYPTO STATUS: enabled=False method=None | auth_enabled=False auth_method=None | SERIALIZE: 0.00073 s | CRYPTO: 0.29069 s | AUTH: 0.00000 s | TOTAL: 0.29142 s | IMPACT: 99.75% | AUTH_IMPACT: 0.00%
CRYPTO STATUS: enabled=False method=None | auth_enabled=False auth_method=None | DESERIALIZE: 0.00090 s | CRYPTO: 0.23250 s | AUTH: 0.00000 s | TOTAL: 0.23340 s | IMPACT: 99.62% | AUTH_IMPACT: 0.00%
CRYPTO STATUS: enabled=False method=None | auth_enabled=False auth_method=None | SERIALIZE: 0.00076 s | CRYPTO: 0.27763 s | AUTH: 0.00000 s | TOTAL: 0.27840 s | IMPACT: 99.73% | AUTH_IMPACT: 0.00%
CRYPTO STATUS: enabled=False method=None | auth_enabled=False auth_method=None | DESERIALIZE: 0.00083 s | CRYPTO: 0.23040 s | AUTH: 0.00000 s | TOTAL: 0.23123 s | IMPACT: 99.64% | AUTH_IMPACT: 0.00%
CRYPTO STATUS: enabled=False method=None | auth_enabled=False auth_method=None | SERIALIZE: 0.00077 s | CRYPTO: 0.26601 s | AUTH: 0.00000 s | TOTAL: 0.26678 s | IMPACT: 99.71% | AUTH_IMPACT: 0.00%
CRYPTO STATUS: enabled=False method=None | auth_enabled=False auth_method=None | SERIALIZE: 0.00068 s | CRYPTO: 0.25794 s | AUTH: 0.00000 s | TOTAL: 0.25862 s | IMPACT: 99.74% | AUTH_IMPACT: 0.00%
CRYPTO STATUS: enabled=False method=None | auth_enabled=False auth_method=None | SERIALIZE: 0.00072 s | CRYPTO: 0.25168 s | AUTH: 0.00000 s | TOTAL: 0.25240 s | IMPACT: 99.71% | AUTH_IMPACT: 0.00%
CRYPTO STATUS: enabled=False method=None | auth_enabled=False auth_method=None | SERIALIZE: 0.00071 s | CRYPTO: 0.25323 s | AUTH: 0.00000 s | TOTAL: 0.25394 s | IMPACT: 99.72% | AUTH_IMPACT: 0.00%
CRYPTO STATUS: enabled=False method=None | auth_enabled=False auth_method=None | SERIALIZE: 0.00066 s | CRYPTO: 0.26340 s | AUTH: 0.00000 s | TOTAL: 0.26405 s | IMPACT: 99.75% | AUTH_IMPACT: 0.00%
CRYPTO STATUS: enabled=False method=None | auth_enabled=False auth_method=None | DESERIALIZE: 0.00089 s | CRYPTO: 0.25365 s | AUTH: 0.00000 s | TOTAL: 0.25454 s | IMPACT: 99.65% | AUTH_IMPACT: 0.00%
CRYPTO STATUS: enabled=False method=None | auth_enabled=False auth_method=None | DESERIALIZE: 0.00082 s | CRYPTO: 0.24086 s | AUTH: 0.00000 s | TOTAL: 0.24167 s | IMPACT: 99.66% | AUTH_IMPACT: 0.00%
CRYPTO STATUS: enabled=False method=None | auth_enabled=False auth_method=None | DESERIALIZE: 0.00083 s | CRYPTO: 0.23255 s | AUTH: 0.00000 s | TOTAL: 0.23337 s | IMPACT: 99.65% | AUTH_IMPACT: 0.00%
CRYPTO STATUS: enabled=False method=None | auth_enabled=False auth_method=None | DESERIALIZE: 0.00078 s | CRYPTO: 0.22854 s | AUTH: 0.00000 s | TOTAL: 0.22932 s | IMPACT: 99.66% | AUTH_IMPACT: 0.00%
CRYPTO STATUS: enabled=False method=None | auth_enabled=False auth_method=None | SERIALIZE: 0.00078 s | CRYPTO: 0.27508 s | AUTH: 0.00000 s | TOTAL: 0.27586 s | IMPACT: 99.72% | AUTH_IMPACT: 0.00%
CRYPTO STATUS: enabled=False method=None | auth_enabled=False auth_method=None | SERIALIZE: 0.00070 s | CRYPTO: 0.24814 s | AUTH: 0.00000 s | TOTAL: 0.24885 s | IMPACT: 99.72% | AUTH_IMPACT: 0.00%
