Encryption disabled
CRYPTO STATUS: enabled=False method=None | auth_enabled=True auth_method=KOBLITZ_512 | DESERIALIZE: 0.00333 s | CRYPTO: 0.00000 s | AUTH: 1.40321 s | TOTAL: 1.40654 s | IMPACT: 0.00% | AUTH_IMPACT: 99.76%
CRYPTO STATUS: enabled=False method=None | auth_enabled=True auth_method=KOBLITZ_512 | SERIALIZE: 0.00077 s | CRYPTO: 0.00000 s | AUTH: 1.29893 s | TOTAL: 1.29970 s | IMPACT: 0.00% | AUTH_IMPACT: 99.94%
CRYPTO STATUS: enabled=False method=None | auth_enabled=True auth_method=KOBLITZ_512 | SERIALIZE: 0.00071 s | CRYPTO: 0.00000 s | AUTH: 1.18746 s | TOTAL: 1.18817 s | IMPACT: 0.00% | AUTH_IMPACT: 99.94%
CRYPTO STATUS: enabled=False method=None | auth_enabled=True auth_method=KOBLITZ_512 | SERIALIZE: 0.00072 s | CRYPTO: 0.00000 s | AUTH: 1.19227 s | TOTAL: 1.19299 s | IMPACT: 0.00% | AUTH_IMPACT: 99.94%
CRYPTO STATUS: enabled=False method=None | auth_enabled=True auth_method=KOBLITZ_512 | DESERIALIZE: 0.00494 s | CRYPTO: 0.00000 s | AUTH: 2.66016 s | TOTAL: 2.66510 s | IMPACT: 0.00% | AUTH_IMPACT: 99.81%
CRYPTO STATUS: enabled=False method=None | auth_enabled=True auth_method=KOBLITZ_512 | DESERIALIZE: 0.00527 s | CRYPTO: 0.00000 s | AUTH: 2.87067 s | TOTAL: 2.87595 s | IMPACT: 0.00% | AUTH_IMPACT: 99.82%
CRYPTO STATUS: enabled=False method=None | auth_enabled=True auth_method=KOBLITZ_512 | DESERIALIZE: 0.00471 s | CRYPTO: 0.00000 s | AUTH: 2.26307 s | TOTAL: 2.26778 s | IMPACT: 0.00% | AUTH_IMPACT: 99.79%
CRYPTO STATUS: enabled=False method=None | auth_enabled=True auth_method=KOBLITZ_512 | SERIALIZE: 0.00084 s | CRYPTO: 0.00000 s | AUTH: 1.50158 s | TOTAL: 1.50242 s | IMPACT: 0.00% | AUTH_IMPACT: 99.94%
CRYPTO STATUS: enabled=False method=None | auth_enabled=True auth_method=KOBLITZ_512 | SERIALIZE: 0.00074 s | CRYPTO: 0.00000 s | AUTH: 1.26663 s | TOTAL: 1.26737 s | IMPACT: 0.00% | AUTH_IMPACT: 99.94%
CRYPTO STATUS: enabled=False method=None | auth_enabled=True auth_method=KOBLITZ_512 | SERIALIZE: 0.00073 s | CRYPTO: 0.00000 s | AUTH: 1.26373 s | TOTAL: 1.26446 s | IMPACT: 0.00% | AUTH_IMPACT: 99.94%
CRYPTO STATUS: enabled=False method=None | auth_enabled=True auth_method=KOBLITZ_512 | SERIALIZE: 0.00073 s | CRYPTO: 0.00000 s | AUTH: 1.24607 s | TOTAL: 1.24680 s | IMPACT: 0.00% | AUTH_IMPACT: 99.94%
CRYPTO STATUS: enabled=False method=None | auth_enabled=True auth_method=KOBLITZ_512 | DESERIALIZE: 0.00154 s | CRYPTO: 0.00000 s | AUTH: 1.21101 s | TOTAL: 1.21255 s | IMPACT: 0.00% | AUTH_IMPACT: 99.87%
CRYPTO STATUS: enabled=False method=None | auth_enabled=True auth_method=KOBLITZ_512 | SERIALIZE: 0.00074 s | CRYPTO: 0.00000 s | AUTH: 1.23658 s | TOTAL: 1.23732 s | IMPACT: 0.00% | AUTH_IMPACT: 99.94%
CRYPTO STATUS: enabled=False method=None | auth_enabled=True auth_method=KOBLITZ_512 | SERIALIZE: 0.00083 s | CRYPTO: 0.00000 s | AUTH: 1.44202 s | TOTAL: 1.44286 s | IMPACT: 0.00% | AUTH_IMPACT: 99.94%
CRYPTO STATUS: enabled=False method=None | auth_enabled=True auth_method=KOBLITZ_512 | SERIALIZE: 0.00069 s | CRYPTO: 0.00000 s | AUTH: 1.26726 s | TOTAL: 1.26795 s | IMPACT: 0.00% | AUTH_IMPACT: 99.95%
CRYPTO STATUS: enabled=False method=None | auth_enabled=True auth_method=KOBLITZ_512 | SERIALIZE: 0.00067 s | CRYPTO: 0.00000 s | AUTH: 1.23910 s | TOTAL: 1.23977 s | IMPACT: 0.00% | AUTH_IMPACT: 99.95%
CRYPTO STATUS: enabled=False method=None | auth_enabled=True auth_method=KOBLITZ_512 | SERIALIZE: 0.00068 s | CRYPTO: 0.00000 s | AUTH: 1.22478 s | TOTAL: 1.22546 s | IMPACT: 0.00% | AUTH_IMPACT: 99.94%
CRYPTO STATUS: enabled=False method=None | auth_enabled=True auth_method=KOBLITZ_512 | SERIALIZE: 0.00071 s | CRYPTO: 0.00000 s | AUTH: 1.22795 s | TOTAL: 1.22866 s | IMPACT: 0.00% | AUTH_IMPACT: 99.94%
CRYPTO STATUS: enabled=False method=None | auth_enabled=True auth_method=KOBLITZ_512 | DESERIALIZE: 0.00179 s | CRYPTO: 0.00000 s | AUTH: 5.25157 s | TOTAL: 5.25335 s | IMPACT: 0.00% | AUTH_IMPACT: 99.97%
CRYPTO STATUS: enabled=False method=None | auth_enabled=True auth_method=KOBLITZ_512 | DESERIALIZE: 0.00208 s | CRYPTO: 0.00000 s | AUTH: 5.31157 s | TOTAL: 5.31366 s | IMPACT: 0.00% | AUTH_IMPACT: 99.96%
CRYPTO STATUS: enabled=False method=None | auth_enabled=True auth_method=KOBLITZ_512 | DESERIALIZE: 0.00192 s | CRYPTO: 0.00000 s | AUTH: 4.86181 s | TOTAL: 4.86373 s | IMPACT: 0.00% | AUTH_IMPACT: 99.96%
CRYPTO STATUS: enabled=False method=None | auth_enabled=True auth_method=KOBLITZ_512 | SERIALIZE: 0.00079 s | CRYPTO: 0.00000 s | AUTH: 1.27364 s | TOTAL: 1.27443 s | IMPACT: 0.00% | AUTH_IMPACT: 99.94%
CRYPTO STATUS: enabled=False method=None | auth_enabled=True auth_method=KOBLITZ_512 | SERIALIZE: 0.00084 s | CRYPTO: 0.00000 s | AUTH: 1.45971 s | TOTAL: 1.46054 s | IMPACT: 0.00% | AUTH_IMPACT: 99.94%
CRYPTO STATUS: enabled=False method=None | auth_enabled=True auth_method=KOBLITZ_512 | SERIALIZE: 0.00088 s | CRYPTO: 0.00000 s | AUTH: 1.56816 s | TOTAL: 1.56904 s | IMPACT: 0.00% | AUTH_IMPACT: 99.94%
CRYPTO STATUS: enabled=False method=None | auth_enabled=True auth_method=KOBLITZ_512 | SERIALIZE: 0.00077 s | CRYPTO: 0.00000 s | AUTH: 1.33667 s | TOTAL: 1.33744 s | IMPACT: 0.00% | AUTH_IMPACT: 99.94%
CRYPTO STATUS: enabled=False method=None | auth_enabled=True auth_method=KOBLITZ_512 | DESERIALIZE: 0.00107 s | CRYPTO: 0.00000 s | AUTH: 1.25604 s | TOTAL: 1.25711 s | IMPACT: 0.00% | AUTH_IMPACT: 99.92%
